,spec_1_baseline,spec_1_baseline,spec_1_baseline,spec_2_replace_capital_with_crar,spec_2_replace_capital_with_crar,spec_2_replace_capital_with_crar,spec_3_core_risk_only,spec_3_core_risk_only,spec_3_core_risk_only,spec_4_drop_gdp_control,spec_4_drop_gdp_control,spec_4_drop_gdp_control
,coef,robust_se,p_value,coef,robust_se,p_value,coef,robust_se,p_value,coef,robust_se,p_value
term,,,,,,,,,,,,
const,0.4631993735772567,0.12649270280969666,0.0002503844695020223,0.5164219311828366,0.14598902064535693,0.00040408330022275997,0.12237714347666387,0.033349336290244704,0.0002429753467482973,0.5027892455935493,0.1252158122385176,5.93497341797148e-05
capital_surplus_ratio,-2.762666393594948,1.4820608629111744,0.06231176104010371,,,,,,,-2.021611291524369,1.6011123276413877,0.2067224432691256
nominal_gdp_growth,0.4043391179040432,0.2789653340623129,0.147219142740947,0.2492567244314601,0.2505334411939878,0.31978295403917245,0.3571351439362923,0.2531680466349514,0.15834360051154317,,,
net_npa_ratio,-2.690660131973453,0.909037055087043,0.003077374288171196,-2.055341566648968,0.7099815309546174,0.003792520549170844,-0.7499389298330876,0.7540073572800234,0.3199287746648787,-2.764786128892028,1.0408042329521763,0.007898127450628387
change_in_rw,0.7289551522040172,0.3654604459218434,0.04608420990189551,0.8167279387800698,0.3050844496303615,0.007427237808191898,1.2869138607199637,0.3540731017875453,0.00027841297141195957,0.8317691108939239,0.40138306576622107,0.03824142374950463
leverage_ratiotrc_to_ta,-2.0896213186351353,1.450125326383129,0.1495864900768942,-1.7500929331523245,1.3711957816776579,0.2018402756417208,,,,-2.3489208794441097,1.3478777586370658,0.0813893628072288
crar,,,,-1.4053446605561528,0.7158716192149449,0.04963178305517874,,,,,,
